Commodity,Transport Mode,Mass Shipped (kg),Avg. Dist. Shipped (km),Mass Frac. by Mode,Weighted Dist. Shipped (km)
Metallic Ores and Concentrates,inland water,343775038.8053951,2027.94,0.013729177601444976,27.841948425074325
Metallic Ores and Concentrates,air(incl. truck & air),11136.001114399998,1847.47,4.4473309522636393e-07,0.0008216310514378506
"Milled Grain Products and Preparations, and Bakery Products",for-hire truck,66848253205.602615,174.32,0.6645212843998665,115.83935029658471
"Milled Grain Products and Preparations, and Bakery Products",company-owned truck,31805003878.28189,74.67,0.3161653598117843,23.608067417145932
"Milled Grain Products and Preparations, and Bakery Products",rail,1919081730.4143426,765.77,0.019077097683329974,14.608669092963593
"Milled Grain Products and Preparations, and Bakery Products",air(incl. truck & air),14100752.3165368,2944.89,0.00014017195051559098,0.4127909753538587
"Milled Grain Products and Preparations, and Bakery Products",inland water,9665892.9316512,3905.87,9.608615450364695e-05,0.3753000282911595
Miscellaneous Manufactured Products,for-hire truck,46826923006.63814,1098.49,0.7180694675473839,788.7921294061257
Miscellaneous Manufactured Products,company-owned truck,18348056421.795433,97.15,0.2813590613985101,27.334032814865257
Miscellaneous Manufactured Products,air(incl. truck & air),36851239.49286,2591.79,0.0005650969190811002,1.4646125439052047
Miscellaneous Manufactured Products,rail,415671.6634408,6.44,6.374135024826599e-06,4.1049429559883296e-05
Mixed Freight,company-owned truck,223457596621.52954,114.68,0.6205910354029364,71.16937994000875
Mixed Freight,for-hire truck,135952729738.3447,410.26,0.37757071851566665,154.90216297823739
Mixed Freight,air(incl. truck & air),342865482.7460312,2578.85,0.0009522130737925713,2.4556146853499725
Mixed Freight,rail,286263886.04884964,810.25,0.000795017954759509,0.6441632978438923
Mixed Freight,deep sea,27731208.518004,1631.34,7.701568291862994e-05,0.12563876417247777
Mixed Freight,inland water,5040784.316030401,3027.74,1.3999369926217084e-05,0.04238645230040451
Monumental or Building Stone,for-hire truck,8438956214.379071,570.01,0.6938831396847193,395.5203284516868
Monumental or Building Stone,company-owned truck,3722970962.8881154,81.55,0.3061168603152807,24.963829958711138
Motorized and Other Vehicles (includes parts),for-hire truck,97774633871.25648,612.09,0.7392941461191133,452.51455389804806
Motorized and Other Vehicles (includes parts),company-owned truck,32024514088.94156,71.82,0.2421439473702149,17.390778300128833
Motorized and Other Vehicles (includes parts),rail,2337336044.6449423,2126.47,0.017673079273244865,37.581272882177004
Motorized and Other Vehicles (includes parts),air(incl. truck & air),105560441.25674722,2108.13,0.0007981642394654448,1.6826339781442883
Motorized and Other Vehicles (includes parts),inland water,9660835.9251616,374.59,7.304757034931576e-05,0.027362889377150187
Motorized and Other Vehicles (includes parts),deep sea,2329711.3798511997,292.28,1.7615427612226562e-05,0.005148637182501579
Natural Sands,for-hire truck,231309817788.37897,202.64,0.5280242298044905,106.99882992758195
Natural Sands,company-owned truck,125106436793.65941,49.67,0.2855876614454495,14.185139143995478
Natural Sands,rail,74017434672.47688,550.67,0.16896385682511367,93.04332703788533
Natural Sands,inland water,7632984076.034698,738.25,0.017424251924946392,12.863453983591674
Non-Metallic Mineral Products,company-owned truck,500255081775.9537,50.22,0.6220648225720845,31.240095389570083
Non-Metallic Mineral Products,for-hire truck,280168007511.5522,667.64,0.3483875891161924,232.5974899975347
Non-Metallic Mineral Products,rail,20849597590.35433,601.26,0.025926375759540682,15.58849268918143
Non-Metallic Mineral Products,great lakes,1424696165.453058,421.21,0.0017716029275212978,0.7462168691012458
Non-Metallic Mineral Products,inland water,980874793.593975,899.92,0.0012197131556891177,1.0976442630677508
Non-Metallic Mineral Products,air(incl. truck & air),385089420.0061657,4323.92,0.0004788568681403391,2.070538789289375
Non-Metallic Mineral Products,deep sea,105494657.39865679,469.4,0.00013118210634467707,0.06157688071819142
Non-Metallic Mineral Products,pipeline,15969095.4512176,20.92,1.9857494487077207e-05,0.00041541878466965523
Other Chemical Products and Preparations,for-hire truck,72855600650.86197,794.58,0.7575387371841469,601.9251297917795
Other Chemical Products and Preparations,company-owned truck,20185520840.208675,65.3,0.20988522268829918,13.705505041545935
Other Chemical Products and Preparations,rail,2858181330.4393725,1169.89,0.029718828152695085,34.76775986755646
Other Chemical Products and Preparations,inland water,258207683.1266104,59.71,0.002684794586271283,0.16030908474625832
Other Chemical Products and Preparations,air(incl. truck & air),16582085.894228,1671.69,0.00017241738858746086,0.28822842432777246
"Other Coal and Petroleum Products, not elsewhere classified",for-hire truck,169302613527.154,238.65,0.3962753678905711,94.5711165470848
"Other Coal and Petroleum Products, not elsewhere classified",company-owned truck,122070887068.49493,50.75,0.28572320694882636,14.500452752652938
"Other Coal and Petroleum Products, not elsewhere classified",inland water,54249599806.50031,439.43,0.12697843035830747,55.79813165235105
"Other Coal and Petroleum Products, not elsewhere classified",rail,36087810994.06849,457.72,0.08446833914791418,38.66284819478328
"Other Coal and Petroleum Products, not elsewhere classified",pipeline,34247619646.39132,69.94,0.08016112564365922,5.606469127517526
"Other Coal and Petroleum Products, not elsewhere classified",deep sea,11274885749.891224,829.54,0.026390375230360506,21.891871868593253
"Other Coal and Petroleum Products, not elsewhere classified",air(incl. truck & air),1347831.8450959998,3582.12,3.1547803612870964e-06,0.011300801827773734
Other Non-Metallic Minerals not elsewhere classified,for-hire truck,108079360119.21887,308.33,0.6411307523519587,197.6798448726794
Other Non-Metallic Minerals not elsewhere classified,company-owned truck,38124600758.04066,59.77,0.22615653849318254,13.517376305737521
Other Non-Metallic Minerals not elsewhere classified,pipeline,9955597909.765686,34.17,0.05905697416195799,2.0179768071141044
Other Non-Metallic Minerals not elsewhere classified,inland water,7615512963.292151,1383.26,0.04517550391042118,62.4894675391292
Other Non-Metallic Minerals not elsewhere classified,rail,4801075931.345109,1623.75,0.028480159584279532,46.24465912497389
Other Non-Metallic Minerals not elsewhere classified,air(incl. truck & air),12052.891983200001,2281.07,7.14981999956511e-08,0.00016309239906407987
"Other Prepared Foodstuffs, and Fats and Oils",for-hire truck,248653692195.88116,646.5,0.5706060641561437,368.8968204769469
"Other Prepared Foodstuffs, and Fats and Oils",company-owned truck,164366191949.82574,67.48,0.37718460981041835,25.45241747000703
"Other Prepared Foodstuffs, and Fats and Oils",rail,20431128698.032482,1578.87,0.04688499024365206,74.02530454599491
"Other Prepared Foodstuffs, and Fats and Oils",inland water,2283173080.9188824,1905.55,0.0052393849211942655,9.983909936581732
"Other Prepared Foodstuffs, and Fats and Oils",air(incl. truck & air),27892006.7912856,3541.81,6.40060804086284e-05,0.22669737565208414
"Other Prepared Foodstuffs, and Fats and Oils",deep sea,9127135.586352,824.12,2.094478818293638e-05,0.017261018837321528
Paper or Paperboard Articles,for-hire truck,49994960527.02349,581.18,0.752070985776608,437.088615513649
Paper or Paperboard Articles,company-owned truck,16117085191.244522,110.22,0.2424482791835197,26.72264933160754
Paper or Paperboard Articles,rail,170852239.978636,224.66,0.002570119291791835,0.5774030000939536
Paper or Paperboard Articles,inland water,157629021.8499128,83.49,0.002371203269289276,0.19797176095296162
Paper or Paperboard Articles,deep sea,22428948.326662403,4292.67,0.00033739723164393626,1.448334974360976
Paper or Paperboard Articles,air(incl. truck & air),13429243.379936801,2744.07,0.00020201524714723797,0.5543439792393213
Pharmaceutical Products,for-hire truck,10309771006.938814,593.04,0.6766449338317235,401.2775115595653
Pharmaceutical Products,company-owned truck,4826463993.2242985,76.29,0.31676769611453637,24.166207536577982
Pharmaceutical Products,rail,55472982.78126,1315.81,0.003640770754094478,4.790562565945055
Pharmaceutical Products,air(incl. truck & air),44896167.1175488,2729.9,0.002946599299645541,8.043921428102362
Plastics and Rubber,for-hire truck,96362494115.20659,665.22,0.6546850361644955,435.5095797573457
